id,country,status,amount
0,Greece,pending,9132722.991642274
1,Denmark,completed,2720392.208973379
2,Slovakia,completed,7869312.37742069
3,France,pending,574218.9792976349
4,Croatia,failed,9849654.052515296
5,Ireland,failed,1956867.6458339428
6,Estonia,completed,6054005.196215127
7,France,completed,3473146.4849452586
8,Czech Republic,pending,8804597.287160575
9,Spain,completed,8509445.408785474
10,Greece,completed,342102.2941540275
11,Finland,failed,1950284.2689009213
12,Finland,pending,8424846.804878412
13,Portugal,failed,2142066.564940398
14,Bulgaria,completed,5728407.332790166
15,Latvia,failed,4537738.217242304
16,Estonia,pending,7034752.733565529
17,Croatia,completed,5169224.7410498215
18,Lithuania,completed,4844652.506347324
19,Croatia,completed,9894572.38766326
20,Croatia,failed,9184651.419018123
21,United States,completed,2785231.272272967
22,Lithuania,pending,293688.807443816
23,Slovenia,pending,4058357.9064800614
24,Italy,failed,8594199.915402869
25,Lithuania,failed,2540538.0111302678
26,Malta,pending,9502590.763525287
27,Greece,completed,4687507.37343776
28,Lithuania,completed,5799746.132865091
29,Denmark,failed,2866640.826124264
30,Ireland,failed,5651790.040561534
31,Lithuania,completed,4685700.511026074
32,Latvia,pending,4772388.343743933
33,United States,failed,2751329.490094535
34,Poland,completed,8433397.089133311
35,Netherlands,completed,6536399.244203989
36,Romania,completed,7177230.282112449
37,Czech Republic,failed,9084526.69351385
38,Croatia,failed,3547155.469570827
39,Lithuania,failed,5059989.733571219
40,Romania,failed,8613827.30005872
41,Hungary,failed,9747205.888289137
42,Denmark,completed,2387741.7220496987
43,Malta,failed,2102749.253121019
44,Austria,pending,8903022.592719937
45,Finland,completed,5394857.611341987
46,Ireland,pending,1167361.7868028686
47,Hungary,completed,4447337.25130655
48,Bulgaria,pending,7572099.800188763
49,Greece,completed,8652336.832153728
50,Italy,failed,7106897.451487507
51,Austria,pending,2920767.317888433
52,Ireland,completed,5460355.73705736
53,Slovakia,failed,6939909.273206924
54,Romania,completed,7885130.685405412
55,Sweden,failed,5821543.73842594
56,France,pending,492730.9649657219
57,Hungary,completed,5445758.376964419
58,Spain,failed,4428158.502085318
59,Spain,failed,3398329.574739093
60,Finland,completed,4775509.0346365655
61,Poland,failed,4704046.192231801
62,Estonia,completed,3499390.9287308133
63,Malta,pending,5673084.408262204
64,Croatia,failed,613433.1853136143
65,Czech Republic,completed,2381273.2272997317
66,Germany,completed,4555034.710734383
67,United States,pending,4386091.129418496
68,Slovakia,pending,1836118.4639833283
69,Bulgaria,completed,2941171.148413254
70,United States,failed,3960410.2423691624
71,Luxembourg,completed,1545533.4067732962
72,France,completed,9073536.95584676
73,Latvia,pending,6360205.659761638
74,Romania,failed,1950327.7927622842
75,Slovakia,completed,9361640.673678016
76,Slovakia,failed,7773248.518272671
77,France,completed,3159980.6963356235
78,Italy,pending,9009781.917893024
79,Czech Republic,failed,7626954.643109795
80,Czech Republic,failed,1670677.0081805987
81,Luxembourg,failed,9983751.327766946
82,Estonia,completed,9127739.71473927
83,Malta,failed,513753.0560397996
84,Greece,pending,8471882.492996773
85,Bulgaria,failed,7777116.383123972
86,Italy,pending,2010640.7455663632
87,Malta,failed,1594986.854024698
88,United States,failed,6290782.76556422
89,Bulgaria,pending,4688265.750407854
90,France,pending,6133003.010678325
91,Hungary,pending,4822801.302081725
92,Croatia,pending,2846642.6876565176
93,Bulgaria,failed,4339080.459272164
94,Croatia,completed,8553627.476701083
95,Croatia,completed,9689849.413043054
96,Hungary,completed,6707516.121078361
97,Poland,pending,5493292.663808393
98,Sweden,failed,9246571.291633837
99,Poland,completed,6527971.305420639
100,Slovenia,completed,4278442.065217667
101,Germany,failed,5778035.922179008
102,Romania,pending,2772006.057793518
103,Greece,pending,36590.453955085424
104,Portugal,failed,4731410.852692357
105,Lithuania,completed,2647959.5450579594
106,Germany,completed,8532480.477752592
107,Bulgaria,completed,7475206.92889959
108,Germany,failed,7461612.4317679135
109,Estonia,failed,4545897.795265877
110,France,completed,2650325.9292203397
111,Sweden,failed,4838698.953328457
112,Slovenia,failed,1135766.9385339296
113,Luxembourg,pending,6430351.950825224
114,Romania,failed,7988157.868354364
115,Ireland,completed,2774371.9656941514
116,Ireland,pending,9800444.543542435
117,France,failed,1456848.8733478691
118,Malta,completed,3617025.910541455
119,Croatia,completed,3659982.887838159
120,Netherlands,completed,4486304.834733791
121,Greece,pending,5322631.870257119
122,Belgium,pending,9261979.03084535
123,Croatia,completed,2698042.0852866825
124,Hungary,failed,1208696.7430036755
125,Romania,completed,4303556.648924006
126,Belgium,pending,6253483.296862027
127,Poland,failed,3080423.509013098
128,Spain,failed,4567637.793024069
129,France,failed,6825325.574782995
130,United States,completed,843632.4446047671
131,Romania,completed,2849415.148411082
132,Netherlands,completed,4265436.6892097825
133,Belgium,pending,374713.0383311237
134,Italy,pending,2070394.2668994635
135,France,pending,2321976.0296708094
136,Spain,failed,621430.6351618448
137,Portugal,pending,5552367.306792038
138,Czech Republic,completed,6115161.231799874
139,Portugal,pending,9782929.450862562
140,Finland,pending,4717844.906545465
141,Austria,pending,3725249.3371071205
142,Estonia,pending,8343104.8318034075
143,Hungary,pending,8769316.983219286
144,Finland,failed,6543006.213066791
145,Slovenia,pending,4461905.333929049
146,Finland,failed,69203.23291688014
147,Slovenia,failed,6641658.6683933465
148,Bulgaria,pending,5196512.527777335
149,Ireland,pending,6848393.763679297
150,Spain,failed,7272113.515553208
151,Hungary,pending,3832972.8939812104
152,Belgium,completed,6944021.865043373
153,Spain,completed,1432056.207053034
154,Hungary,completed,2882086.9564466546
155,Italy,failed,6324848.184918515
156,Bulgaria,failed,8476224.346667381
157,Denmark,failed,4375070.160525047
158,Estonia,pending,2534665.3951315377
159,Portugal,pending,9758208.467163417
160,Netherlands,completed,1725422.1424965833
161,Malta,failed,8783208.37895753
162,Czech Republic,pending,3042928.5254084705
163,Ireland,completed,6858556.081880333
164,Germany,completed,9183723.978024209
165,Croatia,pending,75720.30840229726
166,Greece,failed,407615.8784094619
167,France,failed,6643831.443789835
168,Croatia,pending,4847803.277093952
169,Ireland,completed,1545031.8617760371
170,Lithuania,pending,2113513.3565032193
171,Romania,pending,2050394.8308454512
172,Bulgaria,pending,4207237.274939016
173,Latvia,pending,154157.402178553
174,Romania,completed,241779.03417044843
175,Romania,pending,8738421.434897762
176,Spain,pending,6889241.065385611
177,Spain,pending,2581495.3204712286
178,Estonia,pending,5865546.338713913
179,Latvia,completed,4582073.120443225
180,Finland,failed,5000218.531761062
181,Croatia,failed,7247679.843905727
182,Bulgaria,failed,4359120.227492063
183,Latvia,completed,6258097.404583565
184,Malta,pending,3586275.0830177036
185,Luxembourg,pending,4088354.9492061045
186,Denmark,completed,4739123.670715081
187,Poland,completed,6189328.345225914
188,France,pending,7491413.732309137
189,United States,pending,324077.93127861683
190,Bulgaria,failed,2876326.408198643
191,Sweden,completed,3374357.606607642
192,Italy,completed,7677500.680977451
193,Lithuania,failed,3045596.7403982766
194,Portugal,completed,8142738.316294477
195,Ireland,completed,7268452.4415990785
196,Germany,failed,4336287.170197898
197,Czech Republic,failed,7237270.778872466
198,Germany,failed,8924308.511803573
199,Denmark,completed,8784063.632307013
200,Ireland,pending,4833892.0203500055
201,Austria,completed,4400797.90606728
202,Sweden,completed,9300903.087658202
203,Spain,completed,3875269.5440669204
204,Lithuania,pending,9818789.653153714
205,Ireland,failed,5323916.0075779
206,Hungary,failed,4316052.876385832
207,Belgium,failed,8620744.288946178
208,Romania,pending,9619178.578326203
209,Sweden,pending,3826659.5838193786
210,Romania,failed,2705344.1432942725
211,Portugal,pending,9941897.182893645
212,Czech Republic,pending,5853476.034180124
213,Austria,pending,5020790.974823533
214,Latvia,pending,9492101.397000492
215,Sweden,completed,3285205.3305792883
216,Estonia,completed,735866.2843254849
217,Slovakia,failed,8029703.718425568
218,Greece,pending,5383108.523314389
219,Bulgaria,completed,8517525.109914994
220,Finland,pending,4478471.986637591
221,Poland,completed,4605524.958058095
222,Spain,completed,9635374.106721459
223,Spain,failed,4201032.592853589
224,Luxembourg,failed,5736942.895535512
225,Finland,failed,1376307.461962054
226,Netherlands,pending,1762916.6963069786
227,United States,pending,2418748.277263221
228,Czech Republic,pending,6188464.907817461
229,Belgium,pending,4057424.828079623
230,Luxembourg,pending,8988849.411621304
231,Czech Republic,failed,7557141.508880576
232,Greece,failed,2397735.4838773124
233,Italy,failed,8428980.083546959
234,Sweden,failed,5335037.901602347
235,Spain,completed,7877842.686730434
236,France,failed,2051940.436241948
237,Austria,completed,5812746.863727617
238,United States,failed,5344822.938884809
239,Germany,failed,28808.61997658357
240,Portugal,pending,7075666.325782544
241,France,pending,9890313.601793855
242,France,pending,6831343.168816694
243,Bulgaria,pending,7629992.893798579
244,France,pending,7336604.466419581
245,Belgium,failed,7623232.087912189
246,Belgium,pending,9085787.772474093
247,Hungary,failed,3069222.708799536
248,Luxembourg,pending,6681437.452500842
249,Hungary,completed,9757670.40423703
250,Finland,failed,4235991.022626864
251,Ireland,pending,8013081.026897371
252,Ireland,completed,3469523.889872016
253,Finland,completed,1244809.7600306796
254,Netherlands,failed,6829055.293389979
255,France,completed,1771216.3208834496
256,Estonia,pending,7136658.313992346
257,Malta,failed,7535559.24810574
258,Slovenia,pending,9398304.229463529
259,Luxembourg,pending,9182120.925053243
260,United States,failed,7159120.094476032
261,Denmark,failed,6480730.918567375
262,Sweden,completed,6826655.164842298
263,Croatia,failed,7796896.319616735
264,Croatia,pending,1231047.49036272
265,Greece,failed,7375806.361754714
266,Latvia,pending,6823003.896062406
267,Hungary,failed,5289625.397548326
268,Czech Republic,completed,3819581.73227233
269,Romania,pending,7875752.561393802
270,United States,completed,3002593.4819653453
271,Croatia,completed,826445.757163543
272,Hungary,pending,1805643.1363138892
273,Romania,completed,3017071.55620066
274,Poland,pending,2487373.150139207
275,Latvia,failed,2888615.7552526416
276,Estonia,pending,7035275.704551693
277,Slovakia,pending,1480379.7118876728
278,Hungary,failed,3030585.390731987
279,Slovenia,pending,8416436.097647013
280,Luxembourg,failed,7241684.1216228055
281,Croatia,pending,4840295.47047417
282,Hungary,failed,5886707.307705609
283,Luxembourg,pending,2321147.0811122516
284,Bulgaria,completed,1922599.3403187436
285,Greece,pending,473765.84428571514
286,Czech Republic,completed,8904218.807916299
287,Malta,failed,7248954.564381024
288,Bulgaria,completed,6525211.022458847
289,Germany,failed,3826116.4336355734
290,Greece,failed,229084.56948797507
291,United States,pending,4169508.188423625
292,Slovakia,failed,2475704.423771633
293,Bulgaria,failed,6749822.1196188005
294,Estonia,completed,8016025.189519879
295,Belgium,pending,673596.3426279668
296,France,completed,7170827.7991390955
297,Poland,completed,2397812.970963342
298,Portugal,failed,9807444.816263363
299,Lithuania,pending,8999520.491052214
300,Netherlands,pending,8766379.79038903
301,Finland,completed,4369307.695090002
302,Croatia,completed,3641757.4083491378
303,Croatia,pending,9374644.968241733
304,Lithuania,completed,4125478.936805197
305,Spain,pending,7203290.448441188
306,Czech Republic,failed,3845309.1046624156
307,Luxembourg,pending,6354306.267955277
308,Denmark,pending,4758990.188922939
309,Netherlands,pending,3643974.136578515
310,Germany,completed,921347.767095575
311,Estonia,failed,3312266.88655456
312,Czech Republic,pending,6877142.868958959
313,Spain,pending,182414.55488808843
314,Finland,completed,8948734.609001974
315,Lithuania,pending,2724026.7841205513
316,France,completed,1113222.5358278558
317,Netherlands,pending,4595371.862520763
318,Belgium,failed,7664804.52802638
319,Denmark,pending,9179136.659553342
320,Lithuania,completed,3308592.2406244185
321,Spain,completed,7799337.177551596
322,Germany,failed,3005327.2840801957
323,Ireland,failed,4460126.716211477
324,Finland,failed,3964876.2603199063
325,Romania,completed,8416136.458436444
326,Slovenia,failed,4797576.0300813
327,Poland,pending,1546167.827166627
328,Lithuania,pending,883524.8902185067
329,Lithuania,pending,2955015.1460431716
330,Romania,failed,8949240.185475001
331,Netherlands,pending,4078256.0090394937
332,Sweden,failed,9583810.711109772
333,Austria,pending,6247776.354131246
334,France,failed,5296543.954748473
335,Belgium,pending,9252129.0693373
336,Romania,pending,9790073.435787763
337,Italy,completed,5766028.474587391
338,Bulgaria,completed,737339.358165362
339,Malta,failed,442108.09981661494
340,Sweden,completed,770968.3445849324
341,Lithuania,pending,4020495.460094241
342,Poland,pending,3793220.435586838
343,Malta,completed,5679963.918933199
344,Slovenia,pending,3336359.775062583
345,Slovenia,pending,6594015.974914039
346,Spain,completed,1042487.4144338825
347,Malta,pending,318621.6494426308
348,Estonia,completed,9624244.75462413
349,Croatia,failed,3461150.2854368724
350,Spain,failed,7295021.033134065
351,France,pending,2381882.5528638964
352,Estonia,completed,9280441.080637587
353,Czech Republic,completed,8364791.844659526
354,Czech Republic,failed,9528607.829589969
355,Sweden,failed,6966361.973264826
356,Czech Republic,failed,6071421.201501442
357,France,failed,1430239.7196289408
358,Austria,pending,8217658.913538536
359,Estonia,completed,1403564.8629313847
360,Netherlands,failed,4250201.451152495
361,Sweden,completed,939233.5996501455
362,Germany,pending,5768176.136969157
363,Hungary,pending,1848325.4561310536
364,Latvia,pending,5795187.258874288
365,Portugal,completed,8856119.285791283
366,Latvia,pending,8550276.719167717
367,Ireland,pending,5360221.373502376
368,Czech Republic,completed,2934143.117250495
369,Estonia,pending,9479130.79931336
370,United States,completed,4881361.9827730935
371,France,failed,2211422.2897059275
372,Malta,pending,1594816.6785011531
373,Luxembourg,completed,3804189.4067551186
374,Czech Republic,completed,5245790.0837107515
375,Germany,completed,214101.3662850766
376,Croatia,completed,3227214.8512521014
377,Denmark,pending,7463697.0564263705
378,Slovakia,pending,7812648.706215192
379,Belgium,failed,1782400.4952610028
380,Spain,completed,8202543.572814081
381,Hungary,completed,5949777.406253023
382,Slovenia,failed,8598765.017063163
383,United States,failed,8295009.402801422
384,Latvia,failed,4496478.676795672
385,Bulgaria,pending,3262718.357937002
386,Luxembourg,completed,141708.10213754437
387,Estonia,failed,1480343.6974602567
388,Denmark,pending,5670900.904196042
389,Croatia,completed,3061597.0527267167
390,Croatia,completed,3959440.184723727
391,Slovakia,completed,3498892.8110400653
392,Greece,pending,3196479.824151811
393,Malta,failed,3327354.244120417
394,France,failed,5420708.570447289
395,Portugal,completed,3762985.058139475
396,Estonia,pending,3483417.804622345
397,Slovakia,failed,5658208.93842083
398,Romania,completed,5650443.981529749
399,Slovenia,failed,5777312.3955745185
400,Poland,completed,5070334.444286553
401,Lithuania,completed,512539.21984107496
402,Sweden,pending,6379580.992996803
403,Sweden,failed,8334025.565400319
404,Croatia,failed,2119109.334655633
405,Netherlands,completed,4650642.05858415
406,Croatia,completed,9336095.411611417
407,Malta,failed,6528574.880263438
408,Czech Republic,completed,4473041.356962058
409,Portugal,pending,3384286.944359235
410,Estonia,pending,788596.0003465442
411,Croatia,completed,3210496.174624221
412,Italy,pending,4425106.904727316
413,Sweden,failed,1023952.986379949
414,Finland,pending,7800346.054410248
415,Ireland,pending,3547594.2102837777
416,Poland,failed,7636703.799784497
417,Malta,failed,3108550.903744439
418,Belgium,completed,153671.78444069985
419,Portugal,pending,9211554.572833339
420,Belgium,pending,259819.7505780242
421,Spain,completed,7849090.454057676
422,Finland,failed,7732816.72957967
423,Denmark,failed,7899511.274721514
424,Austria,completed,683227.2171264619
425,Netherlands,completed,4177876.0607886044
426,Finland,failed,2370363.2772841663
427,Estonia,failed,4926306.312156514
428,Lithuania,failed,4685988.894505547
429,Italy,pending,5636486.996970226
430,Greece,completed,9673625.862616818
431,Czech Republic,failed,4734184.774878844
432,Latvia,failed,5533464.298227463
433,Croatia,failed,8481809.821945261
434,Poland,failed,6486247.180543247
435,United States,failed,2500404.51802935
436,Portugal,failed,7953201.150530457
437,Denmark,pending,1159533.1447886447
438,Italy,failed,9185434.047912942
439,Latvia,failed,7059076.090816056
440,Germany,pending,3318931.223893181
441,United States,pending,1962950.3482812073
442,Hungary,failed,7627001.010516283
443,Malta,completed,9326855.171142725
444,Germany,failed,6877600.209577018
445,Lithuania,pending,2126871.8240571995
446,Belgium,completed,2743527.2044138946
447,Finland,pending,1310953.8816341748
448,Finland,pending,151271.5861829994
449,Romania,completed,1134511.527336305
450,Poland,pending,5489885.6942663295
451,Croatia,completed,9229232.19213054
452,Romania,pending,3375026.866895362
453,United States,completed,7988816.289057557
454,Croatia,completed,3124832.2028249055
455,Slovenia,completed,2315254.783048577
456,Croatia,failed,8147427.039322027
457,Poland,pending,5741137.076937035
458,Denmark,completed,3678315.807411572
459,France,failed,2427154.0146196866
460,Sweden,completed,8968323.52803844
461,Malta,failed,1718473.0286797578
462,Lithuania,failed,8915979.861883093
463,France,pending,8385400.607799922
464,Italy,failed,3137950.1322286394
465,Finland,completed,8022113.005676107
466,Luxembourg,failed,2489011.6901087165
467,Greece,pending,555333.3075028033
468,Latvia,failed,1874790.832514578
469,Finland,completed,5746186.950916783
