id,country,status,amount
0,Bulgaria,pending,4312116.97857732
1,Finland,failed,2070927.972789539
2,Germany,failed,187356.02289090215
3,Denmark,failed,3133370.1605828856
4,Italy,pending,177029.01821964988
5,Bulgaria,completed,9795478.422345646
6,Denmark,failed,9507140.441142166
7,Finland,failed,5266720.0548081985
8,United States,failed,1189758.5269212553
9,Lithuania,failed,266085.64917368407
10,United States,completed,1308034.6672940059
11,Ireland,completed,3867760.1262617046
12,Estonia,completed,7298848.169065241
13,Lithuania,pending,4486963.60629257
14,Croatia,failed,7784099.298107941
15,Belgium,completed,437766.8070490104
16,Czech Republic,failed,8297161.925998161
17,United States,failed,1954782.5046761625
18,Denmark,completed,7516619.408266711
19,Belgium,pending,5970901.810922663
20,France,completed,9515747.635642825
21,Latvia,completed,2760096.846612449
22,Finland,pending,3520120.482013922
23,Finland,pending,5040157.495181356
24,Latvia,pending,3953613.660077827
25,Luxembourg,failed,3392412.6224940307
26,Denmark,completed,9605182.123182582
27,Austria,completed,9741575.495322822
28,Bulgaria,completed,3238943.534474399
29,Austria,completed,3202243.7598167853
30,Luxembourg,pending,1058183.9949797057
31,Croatia,failed,1075794.7226888386
32,Slovenia,completed,8497705.887402615
33,Croatia,failed,3177491.5053971563
34,Slovenia,pending,7348331.360702525
35,Czech Republic,failed,7925684.99530012
36,Slovakia,completed,9810131.192847492
37,Denmark,completed,8236757.6688984325
38,Hungary,pending,5678648.242950399
39,Austria,completed,6455340.55690726
40,Greece,failed,7918212.505033555
41,Greece,pending,2590474.2442708807
42,Belgium,completed,8553990.534828173
43,Romania,failed,1517957.7416214608
44,Latvia,pending,4178306.0174357835
45,Sweden,pending,7263746.582733049
46,Czech Republic,pending,9125992.396247126
47,Romania,failed,1610037.450428019
48,Belgium,pending,8312552.972502924
49,Lithuania,completed,3539698.241333541
50,Italy,pending,149156.84120099025
51,Hungary,completed,2686311.549123005
52,Slovenia,completed,4183654.560218445
53,Sweden,failed,9627632.162647145
54,Estonia,pending,3900346.8942608843
55,Slovakia,pending,1087559.1720020084
56,Netherlands,pending,3722038.1696836404
57,Austria,pending,6729076.406394793
58,Germany,completed,1139959.641021594
59,Croatia,failed,6018036.639123572
60,Hungary,pending,9479795.506161582
61,Spain,completed,992369.409354934
62,Slovenia,failed,2547336.08890464
63,Slovakia,completed,6503788.480594211
64,Belgium,pending,8423968.780930983
65,Belgium,completed,1893933.7050148507
66,Bulgaria,completed,993321.9347510136
67,Croatia,completed,5447578.704582525
68,Greece,failed,5704410.572893973
69,Lithuania,pending,3644503.3561120676
70,Portugal,pending,4358189.827073828
71,Portugal,completed,8706433.638624627
72,Czech Republic,pending,521520.5348314389
73,Germany,failed,7811562.71877126
74,Germany,pending,8049342.26880719
75,France,failed,8342115.102387266
76,Greece,pending,6047081.605763634
77,Croatia,failed,5945788.660198597
78,Greece,completed,7522073.126367414
79,Hungary,completed,8814685.401446152
80,Croatia,completed,3020471.050073106
81,Denmark,failed,756630.2686755155
82,Bulgaria,completed,5974296.213369165
83,Slovenia,pending,1312013.4523834882
84,Germany,completed,7846218.985097973
85,Austria,pending,6945803.938637662
86,Germany,failed,5295298.563497263
87,Malta,pending,358095.69156459277
88,Estonia,failed,9050876.83447123
