id,country,status,amount
0,Bulgaria,failed,8356343.401699035
1,Belgium,completed,5620109.418239171
2,France,completed,5420752.402350029
3,Romania,failed,3419334.934501721
4,Portugal,completed,5781371.921502013
5,Slovakia,pending,3274938.833361449
6,Romania,failed,9102246.002809562
7,Latvia,completed,837683.024849748
8,Ireland,failed,560720.1912908988
9,Luxembourg,completed,124135.61206028322
10,Greece,completed,7707574.300314462
11,Luxembourg,failed,6938338.6462401785
12,Sweden,completed,3691295.3786601056
13,Italy,pending,163019.95186308483
14,Latvia,pending,2025301.9695999685
15,Sweden,failed,8469792.890600465
16,Latvia,pending,221818.6202155059
17,Malta,completed,1268920.413005017
18,Spain,failed,8446834.811753958
19,Germany,pending,6870595.769946672
20,France,pending,3994936.7813471537
21,Sweden,pending,4006912.4638997456
22,Latvia,pending,6205751.771529326
23,Czech Republic,completed,3572374.7213273337
24,Lithuania,failed,3735218.061183668
25,Slovenia,pending,3824746.4390260866
26,Croatia,completed,5670600.0296642585
27,Germany,pending,7402655.249483173
28,Spain,failed,5915687.23540943
29,Bulgaria,pending,6596044.246382506
30,Germany,completed,4764748.981704116
31,Estonia,pending,8544504.878757402
32,Ireland,failed,6431857.926153784
33,Belgium,failed,8021552.689049441
34,Ireland,pending,7779721.059891665
35,Czech Republic,completed,951568.8411897949
36,Poland,failed,6682395.840717535
37,Bulgaria,pending,9376453.060837109
38,Lithuania,failed,1913241.4489864225
39,Poland,pending,5485507.776106148
40,Croatia,failed,168586.77311470726
41,Sweden,pending,3872233.3542748066
42,Bulgaria,completed,9536252.5018388
43,Romania,completed,7459427.889181183
44,Greece,failed,5783761.753216809
45,Luxembourg,completed,2147347.0378729585
46,Germany,completed,6691192.4450471895
47,Latvia,pending,3662548.121568333
48,Netherlands,pending,2693247.792920912
49,Bulgaria,completed,6892782.087597076
50,Lithuania,failed,171231.67956992536
51,Greece,failed,5970447.002331273
52,Latvia,completed,8417501.912072515
53,Italy,pending,6649954.4317600075
54,Germany,completed,1593507.889422554
55,Lithuania,failed,1203141.2207609783
56,United States,pending,8014573.159900517
57,Lithuania,pending,6900061.499514853
58,Finland,failed,126534.75801941649
59,Romania,pending,3561896.338425715
60,Sweden,pending,585781.6557954398
61,Denmark,pending,1523115.132680537
62,Luxembourg,pending,5923485.7996502295
63,Portugal,pending,2902160.0217484524
64,Bulgaria,failed,5001028.314138881
65,Luxembourg,completed,1217421.3504234343
66,Germany,failed,2805553.013440678
67,Poland,pending,2133066.029377273
68,Austria,completed,4844083.669428657
69,Denmark,pending,8916844.45665093
70,United States,failed,8554653.61414231
71,Netherlands,completed,3255644.8065587664
72,Romania,pending,4328734.323319538
73,France,pending,7215536.416736088
74,Estonia,failed,9340043.546222137
75,Spain,pending,3864669.116402688
76,Bulgaria,pending,304185.10718370316
77,Latvia,completed,7798896.870837568
78,Slovenia,pending,3052070.168235592
79,Czech Republic,pending,426430.1597750775
80,Belgium,pending,3927567.6446964415
81,Finland,pending,8563205.039980201
82,Belgium,pending,8986934.90157983
83,Luxembourg,failed,9756792.147559691
84,Finland,completed,1508770.5143543151
85,Portugal,pending,4956165.616619746
86,Hungary,failed,6611443.55849615
87,Bulgaria,failed,8438878.047117746
88,Denmark,failed,7610608.264698548
89,Croatia,failed,2500315.7218361404
90,Denmark,completed,6592306.65180402
91,Germany,pending,623256.3983093686
92,Luxembourg,completed,133662.0081254847
93,Netherlands,pending,5740321.12666044
94,Germany,failed,7610831.378235995
95,Slovenia,pending,4289141.979635644
96,Lithuania,failed,1429490.5555454872
97,Poland,pending,5565800.267933949
98,Denmark,pending,8768305.297273014
99,Portugal,completed,3129285.007583341
100,Estonia,completed,4512424.358465295
101,Croatia,failed,2549260.808616971
102,Slovakia,completed,6759281.081023142
103,France,failed,1188699.6635656855
104,Lithuania,completed,4435157.167714108
105,Hungary,failed,9356953.535122693
106,Hungary,pending,7693184.871640105
107,Slovenia,pending,7969858.975417993
108,Slovakia,completed,4512350.688808096
109,United States,pending,5932672.995160242
110,Bulgaria,failed,3179518.301035388
111,Sweden,completed,8476534.977458434
112,Spain,failed,1639393.065491198
113,Finland,pending,7085395.607250806
114,Denmark,failed,2029623.1511340379
115,Netherlands,pending,8820671.52841871
116,Hungary,failed,5158314.380740265
117,Czech Republic,completed,6257700.074223032
118,Malta,failed,6257491.852123804
119,Slovakia,completed,4033009.8158604745
120,Romania,failed,2651909.2174756466
121,Latvia,pending,8201083.558018951
122,Greece,pending,9438865.86649308
123,Romania,completed,8625043.778138964
124,Portugal,pending,8801266.918161986
125,Germany,completed,2279614.6518910034
126,Malta,completed,2620746.6693398273
127,Denmark,pending,3946052.8382130656
128,Belgium,pending,1638930.2175295684
129,Romania,pending,9376775.539230509
130,Austria,pending,3234540.2075315868
131,Estonia,pending,5852255.629559943
132,Greece,pending,3985139.3156192116
133,Croatia,pending,2689526.7725317986
134,Croatia,completed,2755215.962792942
135,Italy,failed,9036545.704999724
136,Poland,completed,2611026.040074821
137,Portugal,failed,4856428.52636384
138,Denmark,pending,8403415.066942459
139,Estonia,completed,1193758.4276389324
140,Latvia,failed,3001025.32264761
141,Sweden,failed,5791187.413718946
