id,country,status,amount
0,Bulgaria,completed,4373964.364401623
1,Slovakia,completed,3994677.992742036
2,Latvia,failed,6371731.544849298
3,Malta,completed,953002.7655455786
4,Portugal,failed,5653504.622368812
5,Lithuania,failed,3797465.8993599373
6,Netherlands,failed,9279231.28847657
7,Sweden,pending,5241500.091940258
8,Slovenia,completed,3268096.644554639
9,Portugal,pending,7660287.264538574
10,Bulgaria,failed,7486161.706237209
11,United States,pending,521160.7020623987
12,Austria,completed,6260472.272633264
13,Italy,pending,5872666.961372147
14,Finland,completed,7387737.880072816
15,Slovenia,pending,4507942.3496165965
16,Bulgaria,failed,5244929.765479121
17,Bulgaria,completed,3899982.7980658133
18,Malta,pending,2855977.4442274612
19,Estonia,completed,2459097.8529680143
20,Malta,completed,3953797.9926927667
21,Netherlands,pending,4797592.785721536
22,Italy,failed,9764144.48688498
23,Germany,pending,1095024.6173277255
24,Italy,completed,5947826.724049855
25,Bulgaria,failed,7305436.413139826
26,Slovenia,pending,26976.764223619608
27,Estonia,failed,3374104.970630605
28,Spain,completed,1553179.8367430838
29,Czech Republic,completed,8344652.784528283
30,United States,failed,9041994.583411936
31,Estonia,completed,3404466.02321519
32,Greece,pending,2853542.6320770574
33,Bulgaria,failed,1334703.963582492
34,Estonia,failed,6924928.903725094
35,Lithuania,completed,8777902.410376946
36,Estonia,completed,1507689.4111922744
37,Belgium,failed,7201062.795872845
38,Poland,completed,6317490.323649864
39,Slovakia,pending,1350900.1966915969
40,Netherlands,completed,1889310.3133036105
41,Sweden,failed,7461054.25366131
42,Portugal,failed,1037927.8242131595
43,Germany,pending,4424807.641255273
44,Finland,pending,978594.8403944855
45,Italy,failed,8462212.113039153
46,Romania,pending,8088236.543963034
47,Slovenia,pending,780095.8979866668
48,Malta,failed,3598209.0475571216
49,Greece,failed,4245403.011859151
50,Malta,failed,46577.334880854025
51,Bulgaria,completed,677643.164204017
52,Slovakia,failed,295259.0779434283
53,Croatia,failed,1443570.0074992143
54,Germany,completed,2579885.744138262
55,Germany,completed,7148671.963734415
56,Croatia,pending,1083788.3849170892
57,Italy,failed,1487324.740364334
58,Croatia,failed,7799781.457955954
