id,country,status,amount
0,Italy,failed,8442491.397191979
1,Estonia,completed,3137562.2580884234
2,Italy,failed,231801.45809612473
3,Czech Republic,pending,9206149.628884792
4,Czech Republic,completed,3870216.476136079
5,France,failed,2678594.5361163686
6,Latvia,failed,6013647.030346368
7,Netherlands,pending,6427215.913481655
8,Croatia,failed,2173279.213371849
9,Portugal,pending,4255362.667472869
10,Netherlands,completed,8262979.875794354
11,Bulgaria,failed,9815433.498586215
12,Belgium,failed,791059.1008401302
13,Lithuania,failed,925545.9533153521
14,Spain,completed,6689823.157795314
15,Luxembourg,completed,585259.1216855996
16,Austria,pending,9887544.699928919
17,Greece,completed,1367049.8100441576
18,Luxembourg,failed,7840718.068857268
19,Slovenia,completed,7427688.190511693
20,United States,completed,4923640.633765238
21,France,failed,3150450.4542055656
22,Estonia,completed,5028075.265612483
23,Belgium,pending,7639032.742097898
24,Germany,failed,6371551.682242696
25,Ireland,completed,1274297.419010696
26,Germany,completed,3234185.5843041088
27,Hungary,failed,429398.6332547983
28,Slovakia,pending,850558.6188590764
29,Greece,completed,96799.10269798864
30,Greece,pending,3949546.9728458463
31,Romania,completed,9396006.83908545
32,Netherlands,failed,388390.7703758094
33,Sweden,failed,3930575.457916379
34,Belgium,pending,2708855.0075786975
35,Portugal,pending,590582.4708879947
36,Germany,completed,1937022.6372445575
37,Bulgaria,failed,2680762.1078482624
38,Latvia,failed,264186.54865809187
39,Belgium,pending,7238224.730399575
40,Poland,failed,524935.5966518588
41,Poland,completed,4932099.199780786
42,Ireland,completed,4552481.058092963
43,Latvia,pending,5226182.13397282
44,Belgium,completed,9643800.465236865
45,Sweden,failed,4698116.053705291
46,Portugal,pending,7260874.258792113
47,Netherlands,failed,8650081.644778907
48,Ireland,pending,5748473.594944049
49,Hungary,pending,6994927.71832093
50,Greece,completed,6741683.0961599015
51,Croatia,completed,9256683.73800296
52,Italy,pending,6838838.4404857475
53,Ireland,completed,2892795.541033789
54,Finland,pending,1539931.8929424244
55,Greece,failed,1964799.6379731824
56,Greece,completed,4666759.762748838
57,Spain,failed,1384471.5710607425
58,Czech Republic,failed,3218410.2909465563
59,Bulgaria,failed,2556194.820306298
60,Poland,completed,6417769.0062019
61,United States,failed,9425759.982742518
62,Luxembourg,completed,6395737.505482492
63,Bulgaria,completed,1302273.1011894029
64,Sweden,pending,8051462.616966372
65,Spain,completed,8699264.388103122
66,Slovakia,failed,5506454.332893372
67,Spain,pending,7892178.984778279
68,Spain,failed,1978401.6300998342
69,Bulgaria,completed,2223557.6839970183
70,Poland,pending,1334571.3068503928
71,Croatia,failed,800071.5778532086
72,Slovenia,failed,4734757.8219457185
73,France,pending,4155109.151677647
74,Bulgaria,completed,5564149.749439219
75,Greece,failed,8753196.56054879
76,Spain,pending,2266046.5670925924
77,Austria,failed,3958472.0399073637
78,Latvia,pending,2592229.843842504
79,Finland,failed,2890140.6328196544
80,Spain,completed,9514895.841702739
81,Latvia,failed,7357967.12774237
82,Spain,pending,1397016.4834640308
83,Greece,completed,5390727.912070149
84,Estonia,completed,6572242.629323151
85,Sweden,failed,9539472.78929416
86,France,failed,4547651.425134212
87,Denmark,completed,8178728.273589263
88,Hungary,failed,155692.39708975947
89,France,failed,6206817.16780391
90,United States,failed,8034916.374688662
91,Sweden,pending,5512463.774619445
92,Poland,completed,2638194.480732282
