id,country,status,amount
0,Spain,pending,6926919.56156177
1,Netherlands,pending,2341006.7379280296
2,Netherlands,completed,7466363.9536614055
3,United States,completed,3671158.3324047746
4,Slovenia,failed,4601363.677845381
5,France,failed,1596563.6566341436
6,Hungary,failed,7388233.574217686
7,Netherlands,completed,7884612.892318494
8,France,completed,5040247.241297799
9,Estonia,completed,2066976.1777341734
10,Denmark,completed,3046336.2285246775
11,United States,failed,3688796.5326368567
12,Croatia,pending,3225488.885217178
13,Hungary,completed,6345430.2948610345
14,Luxembourg,failed,1993705.4521440833
15,Romania,completed,5968857.543216529
16,Netherlands,completed,9406798.96598333
17,Hungary,completed,1601100.1358927567
18,Italy,failed,1091742.451105432
19,United States,failed,3205610.7932060305
20,Portugal,completed,3557823.777753294
21,Estonia,pending,1897439.3307057957
22,Bulgaria,failed,5267242.20673482
23,Slovenia,completed,8720550.362044727
24,Sweden,completed,7259153.627273716
25,Latvia,failed,2888489.221610564
26,Portugal,completed,2895813.042372314
27,Austria,pending,759529.737130057
28,Portugal,completed,3172803.275929196
29,Malta,completed,7266074.324785008
30,Romania,completed,4563751.090461991
31,Netherlands,failed,6405711.243256712
32,Spain,pending,7465072.599923105
33,Bulgaria,failed,1312421.7316226717
34,France,pending,2924778.0310278838
35,Czech Republic,pending,20097.488555820277
36,Netherlands,pending,1035658.4827314063
37,Poland,failed,1923706.2339294197
38,Croatia,pending,2404239.428987498
39,Sweden,failed,9224714.718301827
40,Estonia,pending,2724405.680345836
41,Austria,failed,6688643.451072574
42,Finland,failed,2374201.7056857958
43,Spain,pending,2722490.5427852753
44,Estonia,pending,9381329.841149108
45,Estonia,pending,5708417.953203323
46,Finland,completed,4121600.9260103283
47,Slovakia,pending,1282657.3359723215
48,Spain,failed,6185498.472956038
49,Croatia,failed,4966124.397121391
50,Poland,failed,6221234.549929351
51,Portugal,failed,7446512.279446379
52,Sweden,failed,4872755.596803799
53,Croatia,completed,658187.3627398693
54,Slovakia,pending,4150760.353756999
55,Spain,completed,4400435.728776531
56,Bulgaria,completed,3752455.0420195735
57,Sweden,pending,2757280.6443634313
58,Hungary,completed,6196141.995586628
59,Netherlands,failed,2910867.934522269
60,Bulgaria,completed,1185906.454520742
61,Bulgaria,failed,8667249.545796808
62,Luxembourg,pending,8859047.96169568
63,Italy,pending,9027800.732153017
64,Netherlands,failed,4918923.337633774
65,Czech Republic,completed,2542416.395840955
66,Luxembourg,completed,2685365.82794928
67,Poland,completed,5713208.137735151
68,Denmark,pending,459583.34763416264
69,Finland,completed,1269229.2503083425
70,Bulgaria,completed,3604647.883267843
71,Ireland,completed,2693500.0855437075
72,Malta,pending,4523853.164895548
73,Slovenia,pending,235920.35491592943
74,Portugal,completed,1712039.714510738
75,Czech Republic,failed,5883920.333960144
76,Belgium,failed,6141218.374114531
77,Slovenia,pending,7222715.116659783
78,Slovenia,failed,7970581.906493239
79,Netherlands,completed,1706654.1518592471
80,Ireland,completed,401314.4264947799
81,Ireland,completed,5195064.875718723
82,Netherlands,pending,6235892.90338886
83,Austria,failed,7783188.735538273
84,Croatia,failed,9639026.38981738
85,Finland,pending,8878539.831868282
86,Poland,pending,1290235.8141866322
87,Sweden,completed,4719134.116441538
88,Portugal,failed,1103975.0793814918
89,Czech Republic,pending,5048103.832278092
90,Bulgaria,failed,2605366.6869427185
91,Lithuania,failed,971878.7210597335
