id,country,status,amount
0,Bulgaria,pending,6181030.1352970665
1,Spain,failed,5865005.5127024045
2,Latvia,failed,6333328.423871304
3,Italy,failed,9916904.389488205
4,Austria,pending,3513180.1984766996
5,France,failed,4320733.038901551
6,Finland,pending,1880299.6547142104
7,Croatia,failed,9034131.48645044
8,United States,completed,4242428.846738718
9,Spain,pending,7758882.052863913
10,Hungary,failed,8324598.946660474
11,Czech Republic,failed,2311954.624782808
12,Croatia,failed,7187668.017942375
13,Bulgaria,failed,2973946.1468054852
14,Poland,completed,8369093.336052708
15,Poland,failed,7171221.994032052
16,Romania,pending,1539373.0040506814
17,Luxembourg,completed,3554104.2211351404
18,Slovakia,pending,9634329.23953937
19,Italy,failed,8285301.102424352
20,Czech Republic,pending,3670228.036344412
21,United States,pending,3483314.2199191437
22,Netherlands,pending,7107031.613092081
23,Bulgaria,completed,7710929.89093647
24,Sweden,failed,7824556.441104532
25,Spain,failed,1366643.8186947017
26,Ireland,failed,2634062.814902546
27,Spain,completed,2485968.1703151036
28,Portugal,completed,7740099.777683812
29,Bulgaria,pending,6965532.820928888
30,Lithuania,failed,5574705.003557454
31,Lithuania,completed,6156467.346795463
32,Romania,completed,4037429.624462159
33,Finland,completed,2804053.6963221505
34,Croatia,completed,7771507.88005125
35,Ireland,failed,8744701.848236421
36,Finland,failed,627319.7478565151
37,Poland,completed,5508783.493175496
38,France,completed,8755707.5198201
39,Belgium,completed,6254278.304153642
40,Belgium,pending,5130218.024456866
41,Estonia,completed,1628519.596776682
42,Sweden,completed,1925235.2876920397
43,France,completed,5729987.321168849
44,Croatia,completed,7530656.535030646
45,Slovenia,completed,2588329.442270726
46,Greece,pending,5952741.453984764
47,Hungary,pending,7087380.011615731
48,Ireland,failed,7309597.67299165
49,Bulgaria,failed,2080243.3482203598
50,Belgium,pending,2442434.2721787863
51,Netherlands,pending,4057070.961970877
52,Luxembourg,failed,538376.8590571014
53,Poland,completed,6408851.734914459
54,Romania,pending,2488821.7968332027
55,Austria,completed,1092978.3681706972
56,Germany,pending,5291448.002349537
57,Italy,pending,8108846.653732628
58,Germany,pending,4053517.4020706844
59,Estonia,failed,6087870.42963433
60,Greece,completed,9583937.529771846
61,Ireland,completed,9524274.165842058
62,Hungary,completed,5818204.030489221
63,Portugal,pending,9614870.875014424
64,Luxembourg,completed,7028823.120929032
65,Ireland,completed,2009626.290481632
66,France,failed,9870713.714551428
67,Greece,failed,4213536.611693809
68,Greece,pending,2482292.2280827453
69,Bulgaria,failed,1706801.3776154688
70,Bulgaria,completed,3572318.750993636
71,Romania,pending,7874362.711770433
72,Bulgaria,pending,7583298.705581778
73,Slovenia,completed,9758740.877543302
74,Denmark,failed,2971848.0760696796
