id,country,status,amount
0,Czech Republic,completed,6724021.308037819
1,Hungary,failed,6811338.296435488
2,France,completed,5594529.816518119
3,Finland,completed,127645.25241381829
4,Latvia,completed,3506588.1376964115
5,Hungary,completed,4030988.8399675786
6,Denmark,pending,5174907.232030782
7,Italy,completed,2350973.4783556624
8,Estonia,failed,7063794.469354524
9,Sweden,pending,7038744.1657310715
10,Italy,pending,9064486.152138824
11,Slovenia,pending,2629487.947098472
12,United States,failed,8194471.899984466
13,Latvia,pending,5818892.978385509
14,Romania,completed,8536125.54999092
15,Latvia,pending,8916489.540076105
16,Luxembourg,failed,530099.4013410032
17,Lithuania,pending,3834886.0661448445
18,France,failed,8624192.521372233
19,Slovakia,pending,4870343.462477913
20,United States,completed,5233392.957065337
21,Spain,pending,3047178.3942633136
22,Netherlands,pending,9558458.702993846
23,Lithuania,failed,7348154.453586689
24,Lithuania,failed,6099458.937601517
25,Romania,pending,502221.57786360633
26,Spain,completed,6411667.4390255865
27,Czech Republic,failed,532741.4231380334
28,Portugal,completed,8724155.349904958
29,Portugal,pending,3513342.682837792
30,Luxembourg,pending,205395.2675774773
31,Malta,completed,3485083.5728742257
32,Romania,completed,792816.3617484563
33,Ireland,failed,956454.7571507765
34,Malta,failed,9928617.142592274
35,Latvia,pending,9284654.072054222
36,Hungary,pending,6681820.809069344
37,Estonia,failed,8588318.800006215
38,Czech Republic,failed,9465746.085607402
39,Sweden,failed,9362665.506883115
40,Poland,pending,5093219.472839774
41,Ireland,completed,2100785.075689686
42,Estonia,pending,8129050.2151291175
43,Lithuania,pending,6186804.1281419005
44,Sweden,completed,3815187.504202079
45,Slovenia,completed,3321385.318447365
46,Lithuania,failed,6899354.500643166
47,Netherlands,failed,1794399.427126344
48,Slovakia,completed,7751080.526496651
49,Croatia,pending,3471658.261130641
50,Portugal,pending,4385954.896640966
51,Poland,completed,2729774.1682992326
52,Croatia,pending,7855598.508789549
53,Greece,completed,7810503.500859136
54,Austria,completed,2249384.0740301497
55,Greece,completed,1451438.69897571
56,France,completed,5362485.759969414
57,Portugal,failed,6977325.634451026
58,Germany,pending,9906326.850869909
59,Belgium,pending,6478497.008125102
60,Germany,pending,7301962.321002059
61,Ireland,completed,383114.2596034942
62,Hungary,failed,3970293.7766823275
63,Slovenia,failed,1127029.362530866
64,Greece,completed,2457654.5744655686
65,Greece,pending,2801799.8693953473
66,Latvia,failed,8888618.852504777
67,Greece,pending,8242662.765609201
68,Denmark,completed,3723431.660856704
69,Sweden,failed,811292.776777378
70,Hungary,completed,632430.8410277901
71,Latvia,failed,2962715.2384854625
72,Ireland,completed,3860149.2932051863
73,United States,completed,1093758.9208039234
74,Latvia,failed,2416728.8129588095
75,Sweden,failed,1252223.257942372
76,Italy,pending,1282458.8960376182
77,Poland,pending,3705911.2959834263
78,Estonia,failed,9626499.650060562
79,Austria,pending,7441849.983291098
80,Slovakia,pending,1140521.6773729098
81,Italy,pending,334731.74843802635
82,Ireland,pending,8117513.399692346
83,Hungary,completed,9291109.473441903
84,Lithuania,failed,9346482.141983058
85,Austria,completed,6813877.018351881
86,Belgium,failed,7551244.998925545
87,Austria,pending,7529206.518299549
88,Austria,failed,4803303.63619661
89,Luxembourg,pending,4732363.10899317
90,Slovenia,completed,1243921.8511813576
91,Luxembourg,failed,589909.0581614807
92,Croatia,completed,1527690.8752544038
93,Slovenia,pending,3498246.8182434025
94,Germany,failed,4450885.034906058
95,Netherlands,completed,7252748.640021013
96,Denmark,completed,5827823.856629226
97,Romania,failed,6962795.121645665
98,Finland,pending,612505.4626516468
99,Greece,failed,5003936.0657762
100,Austria,failed,4249751.996079606
101,Germany,failed,8174817.984660982
102,Italy,completed,9780275.895911988
103,Lithuania,completed,1114676.6600365643
104,Netherlands,failed,6891288.535274953
105,Sweden,failed,7598077.340026846
106,Italy,failed,6445564.920935731
107,Austria,failed,6320736.381847732
108,Luxembourg,completed,3866156.5310925925
109,Netherlands,pending,3732847.0521040214
110,Ireland,failed,3277069.849884836
111,Germany,pending,6117811.185928702
112,Netherlands,failed,4533180.771754087
113,Slovakia,pending,5470313.0742619075
114,Belgium,failed,9708965.775328163
115,Hungary,failed,4262347.605104101
116,Denmark,failed,768319.2193147814
117,Slovenia,pending,8160321.339136446
118,Luxembourg,failed,9253141.474364389
119,Malta,failed,8565853.938514246
120,Greece,completed,7794581.629579659
121,Croatia,completed,9382282.745682007
122,Portugal,pending,2450576.05027079
123,Lithuania,failed,8136103.986773184
124,Ireland,failed,4017961.823681873
125,Hungary,pending,8411228.202667568
126,Denmark,completed,6227671.989853827
127,Slovenia,failed,5918664.406844737
128,Latvia,completed,3380584.0454881373
129,Ireland,pending,3477353.0480655245
130,Austria,pending,8272261.9840436615
131,Denmark,failed,793643.4987256469
132,Estonia,pending,3214265.775470607
133,Finland,pending,9810421.822886012
134,Malta,pending,2975902.1741954195
135,Lithuania,pending,4765238.016805454
136,Italy,failed,4616158.431399369
137,Ireland,pending,716278.5266839688
138,Belgium,failed,649459.6192825341
139,Belgium,failed,7551857.4635593435
140,Poland,failed,333686.287999142
141,Luxembourg,completed,845698.6882362316
142,Ireland,failed,8271208.195204541
143,Bulgaria,failed,5515479.843669488
144,Hungary,completed,1682891.0932788854
145,Luxembourg,pending,360504.56496555475
146,Netherlands,failed,9298939.649378115
147,Finland,failed,771121.9306828665
148,Romania,pending,4652971.713211028
149,Malta,failed,5587920.508250331
150,Luxembourg,pending,4460076.464043535
151,Greece,pending,6024294.681616622
152,Austria,failed,6438912.673619771
153,Croatia,failed,1926095.5204983244
154,Italy,pending,4519171.376040737
155,United States,pending,1440048.7728064714
156,Latvia,completed,6924048.231158069
157,Ireland,failed,9285651.524309386
158,Germany,pending,4622984.015139473
159,Czech Republic,failed,6855813.504112318
160,Belgium,completed,6408677.703066701
161,Netherlands,pending,1257915.277189612
162,Finland,failed,2157559.7292006053
163,Croatia,completed,9815665.994586755
164,Malta,pending,4446792.950195435
165,Bulgaria,failed,7706080.289078423
166,Greece,completed,1372236.058019185
167,Netherlands,failed,9672867.881395519
168,France,pending,6671285.794916773
169,Poland,completed,6004919.294880215
170,Germany,failed,5368273.623896208
171,Sweden,failed,3168570.3124221074
172,Netherlands,failed,88452.89149995161
173,Bulgaria,completed,4234658.926330725
174,Czech Republic,pending,8517567.191993581
175,Latvia,failed,5928997.429793205
176,Bulgaria,failed,3338376.6379037905
177,Ireland,failed,4713800.879383963
178,Finland,pending,9161085.04597929
179,Denmark,pending,773088.1910037135
180,Bulgaria,pending,1941938.1782227617
181,Germany,failed,1100085.2430996888
182,Ireland,failed,5542841.566276801
183,Slovenia,pending,3608757.7198094754
184,Ireland,pending,6943411.154687942
185,France,pending,6167285.3231707
186,Netherlands,failed,9587005.200945217
187,Denmark,completed,5014879.444994573
188,Luxembourg,completed,5556786.5329057975
189,Slovenia,failed,4274104.09085324
190,Spain,completed,6108839.545186294
191,Estonia,pending,3527819.0117903994
192,Lithuania,completed,7717628.952162633
